,Achillea millefolium,Aegopodium podagraria,Allium scorodoprasum,Angelica sylvestris,Calystegia sepium,Cerastium glomeratum,Chaerophyllum temulentum,Chrysanthemum maximum,Cirsium arvense,Cirsium vulgare,Daucus carota,Echium vulgare,Epilobium montanum,Eupatorium cannabinum,Geranium robertianum,Hypericum perforatum,Juncus effusus,Lapsana communis,Lychnis flos-cuculi,Malva sylvestris,Matricaria chamomilla,Melilotus albus,Myosotis palustris,Prunella vulgaris,Ranunculus repens,Senecio jacobaea,Silene dioica,Sonchus arvensis,Sonchus palustris,Stachys palustris,Stachys sylvatica,Tanacetum vulgare,Trifolium dubium,Trifolium repens,Tripleurospermum inodorum,Verbascum thapsus,Veronica agrestis,Vicia hirsuta,Vicia sepium
Scaeva pyrastri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Sitona lineatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sphaerophoria taeniata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Syrphus vitripennis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Undefined sp1 M_PL_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Undefined sp10 M_PL_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Undefined sp2 M_PL_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Undefined sp27 M_PL_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Undefined sp29 M_PL_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Undefined sp4 M_PL_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Undefined sp6 M_PL_018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Undefined sp7 M_PL_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Undefined sp8 M_PL_018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Undefined sp9 M_PL_018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Volucella pellucens,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
