,calluna_vulgaris,campanula_rotundifolia,empetrum_nigrum,chamerion_angustifolium,erica_tetralix,galium_saxatile,genista_anglica,hieracium_pilosella,hieracium_umbellatum,hypochaeris_radicata,potentilla_erecta,salix_aurita,salix_repens,scorzonera_humilis,solidago_virgaurea,trientalis_europaea,vaccinium_myrtillus,vaccinium_uliginosum,vaccinium_vitis-idaea,
Sphecodes pellucidus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Sphecodes sp1 M_PL_047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tachina grossa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp1 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Unidentified sp10 M_PL_047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Unidentified sp11 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Unidentified sp12 M_PL_047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp13 M_PL_047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp14 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Unidentified sp15 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Unidentified sp2 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Unidentified sp4 M_PL_047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Unidentified sp6 M_PL_047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Unidentified sp8 M_PL_047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Unidentified sp9 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Zygaena trifolii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
